/dev/loop0: UUID="S3Qvy3-Z1HU-HHdk-LYhh-4bPJ-2fba-WVk2UP" TYPE="LVM2_member" 
/dev/loop1: UUID="98tscQ-kD4d-e9Dr-tkvE-VpJ9-UfKR-G8IFZ7" TYPE="LVM2_member" 
/dev/loop2: UUID="bJ7eJw-43cB-4E3p-P2vw-ISSk-Zto1-hzqv0c" TYPE="LVM2_member" 
/dev/loop3: UUID="N2IhO9-lvuf-ryBM-j4GL-FSgj-xmOZ-t06KIo" TYPE="LVM2_member" 
/dev/sda1: LABEL="fedora-16" UUID="17d021dd-64dd-4ff6-ab40-97d24407f27e" TYPE="ext4" 
/dev/sda5: LABEL="junk_peter" UUID="451bde74-ee66-40bf-8ce3-0df55fe995a7" TYPE="ext2" 
/dev/sda6: LABEL="junk_quinn" UUID="32F5-B255" TYPE="vfat" 
/dev/sda7: LABEL="junk_robert" UUID="033295DD4F3E3651" TYPE="ntfs" 
/dev/sdb: UUID="1mRBlz-y1Bv-4EeP-4fe7-Gddt-BivM-fte6i7" TYPE="LVM2_member" 
/dev/sdc1: LABEL="swap" UUID="c818c17e-ca4c-4b86-8166-f050f9828abd" TYPE="swap" 
/dev/sdc2: UUID="TGMoS6-evUD-bLUi-lOgr-LdCd-DyQD-8QvvB8" TYPE="LVM2_member" 
/dev/sdc3: LABEL="backup" UUID="74886ac9-a970-4da0-88cf-13e9189c5b26" TYPE="ext4" 
/dev/sdd1: LABEL="home" UUID="7f6bbddb-7c0f-4ea6-9f6e-dd243ada4644" TYPE="ext4" 
/dev/mapper/work-apple: LABEL="work-apple" UUID="e00f0065-b71a-422b-8915-8bddca924462" TYPE="ext4" 
/dev/mapper/work-banana: LABEL="work-banana" UUID="95bf99b4-125d-490e-b1a7-32294c075816" TYPE="ext4" 
/dev/mapper/work-cherry: LABEL="work-cherry" UUID="e9231602-a9e8-43da-bc70-e8bf466a090e" TYPE="ext4" 
/dev/mapper/work-date: LABEL="work-date" UUID="42c9be6b-b322-4e6f-8f50-d4dd5413d7d9" TYPE="ext4" 
/dev/mapper/work-endive: LABEL="work-endive" UUID="1629101a-7329-4fbc-8288-c0783d90ff99" TYPE="ext4" 
/dev/mapper/volumes-data: LABEL="tera" UUID="b8c3f907-43d7-4eb8-9b48-a4e67f1be5cc" TYPE="ext4" 
/dev/mapper/tmpvol-stripe2: LABEL="tmpvol_stripe2" UUID="b4f154fc-00ab-4a6f-b227-1e65042ce37c" TYPE="ext4" 
/dev/mapper/tmpvol-root: LABEL="tmpvol_root" UUID="c07ccef2-44d0-424e-8f74-d2d8b81ed382" TYPE="ext4" 
/dev/mapper/tmpvol-mirror3_mimage_0: LABEL="tmpvol_mirror3" UUID="49D9661262B74BE2" TYPE="ntfs" 
/dev/mapper/tmpvol-mirror3_mimage_1: LABEL="tmpvol_mirror3" UUID="49D9661262B74BE2" TYPE="ntfs" 
/dev/mapper/tmpvol-mirror3_mimage_2: LABEL="tmpvol_mirror3" UUID="49D9661262B74BE2" TYPE="ntfs" 
/dev/mapper/tmpvol-mirror3: LABEL="tmpvol_mirror3" UUID="49D9661262B74BE2" TYPE="ntfs" 
/dev/mapper/tmpvol-stripe3: LABEL="tmpvol_stripe3" UUID="6611AD164CB2DB94" TYPE="ntfs" 
/dev/mapper/tmpvol-home: LABEL="tmpvol_home" UUID="6170c86a-dadb-471e-b6c7-466a90fc2bca" TYPE="ext4" 
/dev/mapper/tmpvol-tv: LABEL="tmpvol_tv" UUID="6611AD164CB2DB94" TYPE="ntfs" 
/dev/mapper/tmpvol-mirror2_mimage_0: LABEL="tmpvol_mirror2" UUID="1a6531a3-9539-489e-a135-93e52a1b2b00" TYPE="ext4" 
/dev/mapper/tmpvol-mirror2_mimage_1: LABEL="tmpvol_mirror2" UUID="1a6531a3-9539-489e-a135-93e52a1b2b00" TYPE="ext4" 
/dev/mapper/tmpvol-mirror2: LABEL="tmpvol_mirror2" UUID="1a6531a3-9539-489e-a135-93e52a1b2b00" TYPE="ext4" 
/dev/mapper/tmpvol-data: LABEL="tmpvol_data" UUID="8fbcfca6-2744-4fc9-b72b-c086c02ba440" TYPE="ext4" 
/dev/mapper/shuffle-data: LABEL="shuffle_data" UUID="2da4d153-16fd-44b6-be0d-12bae63fad1b" TYPE="ext4" 
