			Actor	Notes
File				
	Open	file.open	app	
	Close	file.close	app	
	Quit	file.quit	app	
Edit				
	Cut	edit.cut		
	Copy	edit.copy		
	Paste	edit.paste		
	Paste Special	edit.paste_special		
	Undo	edit.undo		
	Redo	edit.redo		
	Clear all ops	edit.clear_all_ops		
	Apply all ops	edit.apply_all_ops		
	Find	edit.find		
	Find next	edit.find_next		
	Find previous	edit.find_previous		
	Preferences	edit.preferences		
View				
	Toolbar	view.toolbar		
	Graphics	view.graphics		
	Tree view	view.tree_view		
	Status bar	view.status_bar		
	Log	view.log		
	Pending Actions	view.pending_actions		
	Fullscreen	view.fullscreen		
	Refresh	view.refresh		
	Reload	view.reload		
	Theme	view.theme		
Create				
	Filesystem	create.filesystem		
	Partition	create.partition		
	Table	create.table		
	Encryption	create.encryption		
	Lvm Volume	create.lvm_volume		
	Subvolume	create.subvolume		
	Snapshot	create.snapshot		
Delete				
	Filesystem	delete.filesystem		
	Partition	delete.partition		
	Table	delete.table		
	Encryption	delete.encryption		
	Lvm Volume	delete.lvm_volume		
	Subvolume	delete.subvolume		
	Snapshot	delete.snapshot		
Format				
	Wipe	format.wipe		
	Filesystem	format.filesystem		
	Btrfs	format.btrfs		
	Partition Type	format.partition_type		
	Table	format.table		
Manage				
	Properties	manage.properties		
	Label	manage.label		
	Uuid	manage.uuid		
	Flags	manage.flags		
	Parameters	manage.parameters		
Filesystem				
	Check	filesystem.check		
	Defragment	filesystem.defragment		
	Rebalance	filesystem.rebalance		
	Resize/Move	filesystem.resize_move		
	Mount	filesystem.mount		
	Umount	filesystem.umount		
	Swap on	filesystem.swap_on		
	Swap off	filesystem.swap_off		
	Usage	filesystem.usage		
Group				
	Resize	group.resize		
	Split	group.split		
	Merge	group.merge		
	Add Stripe	group.add_stripe		
	Remove Stripe	group.remove_stripe		
	Add Mirror	group.add_mirror		
	Remove Mirror	group.remove_mirror		
	Break Mirror	group.break_mirror		
	Add RAID	group.add_raid		
	Remove RAID	group.remove_raid		
Plugin				
	Plugin X	plugin.x		
	Plugin Y	plugin.y		
	Configure plugins	plugin.configure		
Help				
	Contents	help.contents		
	What's this?	help.whats_this		
	Report an issue	help.report_issue		
	FAQ	help.faq		
	Community	help.community		
	Homepage	help.homepage		
	About	help.about		
